City,Metro,County,State,Population Rank,Average Rental Cost
New York,New York,Queens,NY,1,2085.84
Los Angeles,Los Angeles,Los Angeles,CA,2,2349.92
Chicago,Chicago,Cook,IL,3,1586.78
Houston,Houston,Harris,TX,4,1298.8
Philadelphia,Philadelphia,Philadelphia,PA,5,1128.88
Phoenix,Phoenix,Maricopa,AZ,6,1116.3
Las Vegas,Las Vegas,Clark,NV,7,1167.54
San Antonio,San Antonio,Bexar,TX,8,1121.97
San Diego,San Diego,San Diego,CA,9,2168.84
Dallas,Dallas-Fort Worth,Dallas,TX,10,1215.81
San Jose,San Jose,Santa Clara,CA,11,2727.95
Jacksonville,Jacksonville,Duval,FL,12,1090.89
San Francisco,San Francisco,San Francisco,CA,13,3621.86
Indianapolis,Indianapolis,Marion,IN,14,1015.78
Austin,Austin,Travis,TX,15,1569.58
Fort Worth,Dallas-Fort Worth,Tarrant,TX,16,1241.03
Detroit,Detroit,Wayne,MI,17,760.97
Columbus,Columbus,Franklin,OH,18,1027.72
Memphis,Memphis,Shelby,TN,19,849.22
Charlotte,Charlotte,Mecklenburg,NC,20,1162.84
El Paso,El Paso,El Paso,TX,21,1038.43
Boston,Boston,Suffolk,MA,22,2264.88
Seattle,Seattle,King,WA,23,1999.18
Baltimore,Baltimore,Baltimore City,MD,24,1260.2
Denver,Denver,Denver,CO,25,1619.14
Washington,Washington,District of Columbia,DC,26,2427.53
Nashville,Nashville,Davidson,TN,27,1290.61
Milwaukee,Milwaukee,Milwaukee,WI,28,951.74
Tucson,Tucson,Pima,AZ,29,1019.85
Portland,Portland,Multnomah,OR,30,1493.14
Oklahoma City,Oklahoma City,Oklahoma,OK,31,1048.3
Omaha,Omaha,Douglas,NE,32,1224.92
Albuquerque,Albuquerque,Bernalillo,NM,33,1168.3
Fresno,Fresno,Fresno,CA,34,1176.23
Sacramento,Sacramento,Sacramento,CA,35,1316.61
Mesa,Phoenix,Maricopa,AZ,36,1156.61
Long Beach,Los Angeles,Los Angeles,CA,37,2052.57
Kansas City,Kansas City,Jackson,MO,38,935.28
Virginia Beach,Virginia Beach,Virginia Beach City,VA,39,1514.93
Colorado Springs,Colorado Springs,El Paso,CO,40,1260.69
Atlanta,Atlanta,Fulton,GA,41,1259.74
Miami,Miami-Fort Lauderdale,Miami-Dade,FL,42,1890.61
Oakland,San Francisco,Alameda,CA,43,2086.35
Tulsa,Tulsa,Tulsa,OK,44,933.81
Cleveland,Cleveland,Cuyahoga,OH,45,809.36
Honolulu,Urban Honolulu,Honolulu,HI,46,2258.07
Minneapolis,Minneapolis-St Paul,Hennepin,MN,47,1407.45
Baton Rouge,Baton Rouge,East Baton Rouge,LA,48,1246.44
New Orleans,New Orleans,Orleans,LA,49,1381.33
Arlington,Dallas-Fort Worth,Tarrant,TX,50,1299.36
Raleigh,Raleigh,Wake,NC,51,1273.16
Wichita,Wichita,Sedgwick,KS,52,913.84
Tampa,Tampa,Hillsborough,FL,53,1195.32
Anaheim,Los Angeles,Orange,CA,54,2318.11
Santa Ana,Los Angeles,Orange,CA,55,2176.38
Aurora,Denver,Arapahoe,CO,56,1451.55
Saint Louis,St. Louis,Saint Louis City,MO,57,831.32
Corpus Christi,Corpus Christi,Nueces,TX,58,1299.28
Cincinnati,Cincinnati,Hamilton,OH,59,942.3
Pittsburgh,Pittsburgh,Allegheny,PA,60,991.15
Riverside,Riverside,Riverside,CA,61,1627.81
Marietta,Atlanta,Cobb,GA,62,1433.42
Anchorage,Anchorage,Anchorage,AK,63,1907.91
Bakersfield,Bakersfield,Kern,CA,64,1325.65
Saint Paul,Minneapolis-St Paul,Ramsey,MN,65,1270.32
Toledo,Toledo,Lucas,OH,66,735.59
Silver Spring,Washington,Montgomery,MD,67,2111.49
Lexington,Lexington,Fayette,KY,68,1088.66
Newark,New York,Essex,NJ,69,1412.84
Tallahassee,Tallahassee,Leon,FL,70,1173
Stockton,Stockton,San Joaquin,CA,71,1216.28
Plano,Dallas-Fort Worth,Collin,TX,72,1785
Buffalo,Buffalo,Erie,NY,73,814.22
Chandler,Phoenix,Maricopa,AZ,74,1341.09
Louisville,Louisville,Jefferson,KY,75,880.54
Henderson,Las Vegas,Clark,NV,76,1305.18
Modesto,Modesto,Stanislaus,CA,77,1147.19
Mobile,Mobile,Mobile,AL,78,907.88
Jersey City,New York,Hudson,NJ,79,1938.49
Lubbock,Lubbock,Lubbock,TX,80,1142.55
Glendale,Phoenix,Maricopa,AZ,81,1119.69
Durham,Durham,Durham,NC,82,1194.55
Orlando,Orlando,Orange,FL,83,1140.16
Norfolk,Virginia Beach,Norfolk City,VA,84,1237.65
Saint Petersburg,Tampa,Pinellas,FL,85,1149.64
Pensacola,Pensacola,Escambia,FL,86,900.66
Fort Wayne,Fort Wayne,Allen,IN,87,875.03
Greensboro,,Guilford,NC,88,948.95
Lincoln,Lincoln,Lancaster,NE,89,1129.55
San Bernardino,Riverside,San Bernardino,CA,90,1277.97
Corona,Riverside,Riverside,CA,91,1995.74
Chula Vista,San Diego,San Diego,CA,92,2158.76
Chesapeake,Virginia Beach,Chesapeake City,VA,93,1580.81
Hialeah,Miami-Fort Lauderdale,Miami-Dade,FL,94,1571.42
Madison,Madison,Dane,WI,95,1445.14
Garland,Dallas-Fort Worth,Dallas,TX,96,1231.76
Fontana,Riverside,San Bernardino,CA,97,1680.27
Fort Myers,Fort Myers,Lee,FL,98,1316.23
Knoxville,Knoxville,Knox,TN,99,915.81
Laredo,Laredo,Webb,TX,100,1098.32
North Las Vegas,Las Vegas,Clark,NV,101,1132.72
Lawrenceville,Atlanta,Gwinnett,GA,102,1235.31
Fremont,San Francisco,Alameda,CA,103,2548.96
Fayetteville,Fayetteville,Cumberland,NC,104,858.61
Springfield,Springfield,Greene,MO,105,776.85
Arlington,Washington,Arlington,VA,106,2676.91
Irving,Dallas-Fort Worth,Dallas,TX,107,1296.24
Gilbert,Phoenix,Maricopa,AZ,108,1410.42
Scottsdale,Phoenix,Maricopa,AZ,109,1921.54
Rochester,Rochester,Monroe,NY,110,907.12
Winston-Salem,Winston-Salem,Forsyth,NC,111,946.22
Irvine,Los Angeles,Orange,CA,112,2822.57
Richmond,Richmond,Richmond City,VA,113,1072.36
Boca Raton,Miami-Fort Lauderdale,Palm Beach,FL,114,2012.58
Oxnard,Ventura,Ventura,CA,115,2137.62
Bradenton,Sarasota,Manatee,FL,116,1453.09
Montgomery,Montgomery,Montgomery,AL,117,863.97
Santa Rosa,Santa Rosa,Sonoma,CA,118,1979.61
Des Moines,Des Moines,Polk,IA,119,1035.95
Reno,Reno,Washoe,NV,120,1337.23
Spokane,Spokane,Spokane,WA,121,968.95
Augusta,Augusta,Richmond,GA,122,801.81
Tacoma,Seattle,Pierce,WA,123,1297.22
Grand Rapids,Grand Rapids,Kent,MI,124,1014.05
Oceanside,San Diego,San Diego,CA,125,2042.93
Gainesville,Gainesville,Alachua,FL,126,1120.97
Woodbridge,Washington,Prince William,VA,127,1765.18
Ocala,Ocala,Marion,FL,128,895.88
Glendale,Los Angeles,Los Angeles,CA,129,2487.39
Boise,Boise City,Ada,ID,130,1045.3
Greenville,Greenville,Greenville,SC,131,1068.14
Birmingham,Birmingham,Jefferson,AL,132,739.2
Salt Lake City,Salt Lake City,Salt Lake,UT,133,1287.72
Huntington Beach,Los Angeles,Orange,CA,134,2691.36
Akron,Akron,Summit,OH,135,724.59
Rockford,Rockford,Winnebago,IL,136,902.6
Salinas,Salinas,Monterey,CA,137,1809.31
Worcester,Worcester,Worcester,MA,138,1312.43
Moreno Valley,Riverside,Riverside,CA,139,1496.99
Little Rock,Little Rock,Pulaski,AR,140,980.18
Port Saint Lucie,Port St. Lucie,Saint Lucie,FL,141,1230.66
Brownsville,Brownsville,Cameron,TX,142,892.43
Providence,Providence,Providence,RI,143,1219.64
Amarillo,Amarillo,Potter,TX,144,1100.08
Lancaster,Los Angeles,Los Angeles,CA,145,1469.3
Fort Collins,Fort Collins,Larimer,CO,146,1531.01
Shreveport,Shreveport,Caddo,LA,147,914.09
Evansville,Evansville,Vanderburgh,IN,148,854.42
Yonkers,New York,Westchester,NY,149,2241.15
Hayward,San Francisco,Alameda,CA,150,2085.2
Chattanooga,Chattanooga,Hamilton,TN,151,1074.36
Columbus,Columbus,Muscogee,GA,152,859.8
Aurora,Chicago,Kane,IL,153,1484.5
Ontario,Riverside,San Bernardino,CA,154,1678.88
Jackson,Jackson,Hinds,MS,155,797.65
Grand Prairie,Dallas-Fort Worth,Dallas,TX,156,1292.49
Rancho Cucamonga,Riverside,San Bernardino,CA,157,2009.53
Overland Park,Kansas City,Johnson,KS,158,1656.15
Newport News,Virginia Beach,Newport News City,VA,159,1231.27
Garden Grove,Los Angeles,Orange,CA,160,2281.01
Killeen,Killeen,Bell,TX,161,946.78
Roanoke,Roanoke,Roanoke City,VA,162,997.14
Sioux Falls,Sioux Falls,Minnehaha,SD,163,1104.18
Tempe,Phoenix,Maricopa,AZ,164,1260.59
Vancouver,Portland,Clark,WA,165,1314.16
Huntsville,Huntsville,Madison,AL,166,1010.84
El Cajon,San Diego,San Diego,CA,167,2038.46
Palmdale,Los Angeles,Los Angeles,CA,168,1531.8
Topeka,Topeka,Shawnee,KS,169,906.46
Elk Grove,Sacramento,Sacramento,CA,170,1632.78
Pueblo,Pueblo,Pueblo,CO,171,974.7
Fredericksburg,Washington,Spotsylvania,VA,172,1504.53
Cape Coral,Fort Myers,Lee,FL,173,1232.95
Springfield,Springfield,Hampden,MA,174,1223.08
Murfreesboro,Nashville,Rutherford,TN,175,1208.8
Clarksville,Clarksville,Montgomery,TN,176,994.24
Naperville,Chicago,Du Page,IL,177,2211.46
Peoria,Phoenix,Maricopa,AZ,178,1256.59
Fairfax,Washington,Fairfax,VA,179,2391.09
