Location ID,Location,Value,Rank,Anomaly (1981-2010 base period),1981-2010 Mean
USW00013876,"Birmingham, Alabama",65,83,1.8,63.2
USW00003856,"Huntsville, Alabama",62.6,45,0.6,62
USW00013894,"Mobile, Alabama",68.3,62,1,67.3
USW00013895,"Montgomery, Alabama",67.9,69,2.3,65.6
USW00026451,"Anchorage, Alaska",38.5,53,1.3,37.2
USW00027502,"Barrow, Alaska",15.4,92,3.8,11.6
USW00026615,"Bethel, Alaska",31.1,66,0.1,31
USW00026411,"Fairbanks, Alaska",27.8,64,0.1,27.7
USW00025309,"Juneau, Alaska",42.4,57,0.6,41.8
USW00026617,"Nome, Alaska",28.7,91,1.4,27.3
USW00003103,"Flagstaff, Arizona",47.6,78,1.8,45.8
USW00023183,"Phoenix, Arizona",76.7,73,1.9,74.8
USW00023160,"Tucson, Arizona",72,69,2.7,69.3
USW00003125,"Yuma, Arizona",75.2,45,0.7,74.5
USW00013964,"Fort Smith, Arkansas",62.5,61,0.6,61.9
USW00013963,"Little Rock, Arkansas",62,63,0.8,61.2
USW00024213,"Eureka, California",53,68,0.8,52.2
USH00043257,"Fresno, California",66,119,2.2,63.8
USW00023174,"Los Angeles, California",64.7,72,1.8,62.9
USW00023232,"Sacramento, California",63.6,71,2.3,61.3
USW00023188,"San Diego, California",65.8,76,2.2,63.6
USW00023234,"San Francisco, California",59.5,72,1.7,57.8
USW00023061,"Alamosa, Colorado",42.9,60,1.5,41.4
USW00093037,"Colorado Springs, Colorado",50.9,62,1,49.9
USW00023066,"Grand Junction, Colorado",53.6,109,1.2,52.4
USW00093058,"Pueblo, Colorado",53.8,54,1,52.8
USW00094702,"Bridgeport, Connecticut",54.7,65,2,52.7
USW00014740,"Hartford, Connecticut",52.2,65,1.7,50.5
USW00013781,"Wilmington, Delaware",56.7,65,2.2,54.5
USW00012834,"Daytona Beach, Florida",73.2,82,2.4,70.8
USW00012835,"Fort Myers, Florida",77.3,101,2.5,74.8
USW00013889,"Jacksonville, Florida",71.2,79,2.6,68.6
USH00084570,"Key West, Florida",80.6,119,2,78.6
USW00012839,"Miami, Florida",79.2,71,2.3,76.9
USW00012815,"Orlando, Florida",75.1,64,2.6,72.5
USH00088758,"Tallahassee, Florida",70.4,121,2.2,68.2
USW00012842,"Tampa, Florida",76.3,81,2.7,73.6
USW00012844,"West Palm Beach, Florida",77.5,79,2.6,74.9
USW00013874,"Atlanta, Georgia",64.7,85,2,62.7
USW00003820,"Augusta, Georgia",66.8,73,2.2,64.6
USW00093842,"Columbus, Georgia",67.6,67,1.7,65.9
USW00003813,"Macon, Georgia",66.7,67,1.8,64.9
USH00097847,"Savannah, Georgia",69.6,123,2.9,66.7
USC00517166,"Captain Cook, Hawaii",-99,-99,-99,-99
USW00021504,"Hilo, Hawaii",75.1,68,0.8,74.3
USW00022521,"Honolulu Intl. Airport, Hawaii",-99,-99,-99,-99
USC00519397,"Honolulu Zoo, Hawaii",-99,-99,-99,-99
